Table	number_of_AS-AS_relationships	percent_invalid_AS-AS_relationship	percent_indirect_AS-AS_relationship	number_of_CT-CT_relationships	percent_invalid_CT-CT_relationship	percent_indirect_CT-CT_relationship	number_of_CT-AS_relationships	percent_invalid_CT-AS_relationship	number_of_no_parent_relationships	unique_no_parent_relationships
Anatomical_Systems	104	0.96	14.56	0	0	0	0	0	0	0
Blood	0	0	0	23	26.09	76.47	23	100.0	0	0
Bone-Marrow	0	0	0	53	49.06	62.96	53	92.45	0	0
Brain	189	26.98	54.35	641	7.8	55.5	628	46.97	0	0
Eye	38	31.58	53.85	18	11.11	37.5	33	51.52	0	0
Fallopian_tube	10	50.0	0.0	0	0	0	60	95.0	0	0
Gingiva	3	0.0	0.0	0	0	0	1	0.0	0	0
Heart	54	46.3	68.97	0	0	0	140	86.43	0	0
Kidney	70	30.0	38.78	0	0	0	69	26.09	0	0
Knee	6	50.0	0.0	3	100.0	0	4	75.0	0	0
Large_intestine	169	84.62	34.62	0	0	0	144	78.47	89	3
Liver	18	61.11	14.29	0	0	0	29	75.86	1	1
Lung	68	38.24	16.67	0	0	0	100	29.0	1	1
Lymph_node	42	54.76	26.32	0	0	0	82	78.05	0	0
Lymph_vasculature	9	77.78	50.0	0	0	0	18	94.44	0	0
Main_Bronchus	13	53.85	0.0	0	0	0	24	87.5	1	1
Mammary_Gland	0	0	0	0	0	0	0	0	10	10
Mouth	26	23.08	5.0	0	0	0	53	100.0	4	2
Muscular_System	120	22.5	40.86	0	0	0	205	18.54	0	0
Ovary	19	68.42	16.67	0	0	0	14	71.43	216	10
Pancreas	33	66.67	27.27	18	44.44	10.0	28	82.14	0	0
Palatine_Tonsil	11	45.45	83.33	2	0.0	50.0	33	66.67	0	0
Peripheral_nervous_system	163	10.43	36.99	107	2.8	52.88	112	8.93	0	0
Placenta	40	50.0	30.0	0	0	0	57	80.7	0	0
Prostate	18	50.0	44.44	4	75.0	0.0	14	35.71	1	1
Salivary_Glands	25	0.0	20.0	0	0	0	3	100.0	0	0
Skeleton	504	8.93	26.58	0	0	0	521	98.66	0	0
Skin	32	50.0	31.25	1	0.0	100.0	57	80.7	0	0
Small_intestine	21	28.57	33.33	3	0.0	0.0	71	80.28	9	4
Spinal_Cord	100	11.0	14.61	0	0	0	22	86.36	0	0
Spleen	29	41.38	23.53	0	0	0	108	91.67	0	0
Thymus	29	72.41	37.5	0	0	0	64	71.88	0	0
Tongue	25	0.0	48.0	0	0	0	0	0	0	0
Trachea	18	33.33	0.0	0	0	0	22	81.82	1	1
Ureter	9	33.33	83.33	0	0	0	4	100.0	0	0
Urinary_bladder	18	22.22	7.14	5	100.0	0	19	89.47	6	6
Uterus	26	30.77	38.89	0	0	0	12	83.33	181	8
Blood_vasculature	398	4.27	6.3	0	0	0	1333	66.62	0	0
